Event Name,Event Time,Status,External Url
🛑  You're In The Linkedin Penalty Box...Now What?  Ep 119,"Jan 12, 2022 04:00 PM - Jan 12, 2022 05:00 PM",RELINQUISHED,
🔥 Creating Demand Through Content 🔥 Linked-in-TOGETHER Ep 125,"Mar 02, 2022 04:00 PM - Mar 02, 2022 05:00 PM",RELINQUISHED,
Masterclass: Workers Are Sick of Change: The Cure is Psychological Safety,"May 23, 2023 04:00 PM - May 23, 2023 04:30 PM",RELINQUISHED,https://www.spokeandwheel.co/masterclass
The Art and Neuroscience of Giving Helpful Feedback,"Apr 25, 2023 04:00 PM - Apr 25, 2023 06:00 PM",RELINQUISHED,https://wtdtheartofgivingfeedbackapril2023.eventbrite.com
Where is Regenerative Agriculture Headed,"Sep 21, 2022 02:00 PM - Sep 21, 2022 02:30 PM",RELINQUISHED,https://www.eventbrite.com/e/where-is-regenerative-agriculture-headed-tickets-414253422137
Linkedin Together Episode 146,"Sep 07, 2022 03:00 PM - Sep 14, 2022 04:00 PM",RELINQUISHED,
NSA Live: When Your Career Zig-Zags (and Life Throws Curveballs),"Mar 06, 2026 05:00 PM - Mar 06, 2026 06:00 PM",APPROVED,
