ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Peoject nanagement, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104194190, radiusInKms=80.0}]}}, facets={segmentAttributes=[]}}",15761621772
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Content designer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104194190, radiusInKms=80.46720027923584}]}}, facets={segmentAttributes=[]}}",15674464716
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Ux writer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104194190, radiusInKms=79.99999805835056}]}}, facets={segmentAttributes=[]}}",15674464684
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=content director, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104194190, radiusInKms=40.2335}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",15638263036
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=growth marketing manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",15638263028
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=content director, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",15529668796
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=head of content, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",15529668788
