School Name,Start Date,End Date,Notes,Degree Name,Activities
"University of California, Berkeley",2015,2016,,Professional Sequence in Editing,
The University of Texas at Austin - The LBJ School of Public Affairs,2010,2012,,Master of Global Policy Studies,
,2001,2005,,B.A.,
