Company Name,Title,Description,Location,Started On,Finished On
Spellwell,Founder & Principal Consultant,"Spellwell Creative is a content strategy and copywriting consultancy for startups and growing companies that need their messaging to work harder. Most early-stage companies have a messaging problem before they have a content person: unclear positioning, inconsistent voice, and copy that doesn't convert. Spellwell exists to close that gap.  • Partner with seed-to-Series B founders to define voice, positioning, and content architecture from scratch, driving an average 30% lift in user engagement across client accounts • Design UX copy and onboarding flows that move users to action, increasing onboarding-to-activation conversions by 18% on average • Build content operations infrastructure—audits, editorial systems, governance docs, and AI-assisted workflows—that make production scalable without adding headcount • Clients include IDEO, Stanford d.school, MaineHealth, and Aero","Dallas, TX",May 2016,
myTrudy,Head of Content,"myTrudy is a personality-driven career platform helping professionals find work that fits. I inherited a platform with no content system and built one from the ground up, including voice and tone framework, UX writing standards, editorial governance, and AI prompt architecture, all delivered to 100,000+ users.  • Directed end-to-end UX writing and content design across product and web, partnering with design, product, and engineering to ship copy that reduced user-reported confusion by 25% • Designed AI prompt frameworks powering the resume builder, job search tools, and profile features — enabling fully personalized outputs and improving user satisfaction scores by 30% • Owned all marketing content across paid ads, email, social, and video, delivering a 40% lift in CTR and 2x growth in organic engagement year over year • Led A/B testing on landing page and onboarding content, increasing trial-to-paid conversions by 18% and improving retention by 22% • Served on the leadership team as strategic content partner to the CEO on positioning, roadmap decisions, and company vision","San Francisco, CA",Mar 2023,Dec 2025
Evidence in Governance and Politics,Content Strategy & Research Director,"Evidence in Governance and Politics (EGAP) is a global policy research network advancing evidence-based governance across 30+ countries. When I joined, research was being produced with no shared voice, editorial standards, or public-facing strategy. I built the system from scratch.  • Designed and led a research communications model for a $9M program spanning 100+ researchers across 6 continents, aligning messaging across a globally distributed network for the first time • Established voice, tone, and editorial standards across reports, publications, and digital channels, giving the network a consistent public presence • Launched editorial and digital campaigns that increased web traffic by 25% and social following by 30%","Berkeley, California",Apr 2016,Dec 2024
"Center on the Politics of Development, UC Berkeley",Managing Director,"The Center on the Politics of Development is a UC Berkeley research center focused on the political economy of development. I joined as the center's first communications hire, building the entire external presence from nothing.  • Built and led strategy, operations, and communications from the ground up, growing organizational visibility by 200% over three years through content strategy and digital presence • Directed messaging and public-facing materials supporting research dissemination and fundraising goals • Partnered with faculty and senior leadership on strategic planning and external communications","Berkeley, California",Apr 2014,Apr 2017
U.S. Baha'i Office of Public Affairs,Media Relations Officer,"The U.S. Baha'i Office of Public Affairs advances the social and political participation of the Baha'i community in American public life.  • Managed media relations and editorial coordination for a national advocacy organization, building relationships with 30+ outlets and 10 Congressional offices • Produced op-eds and long-form content securing 15+ national media placements",Washington D.C. ,Oct 2012,Mar 2014
The Robert S. Strauss Center for International Security and Law,Research Associate,"The Strauss Center is a nonpartisan research institution at UT Austin focused on international security and law.  • Conducted qualitative research, interviews, and analysis contributing to a published case study on international security","Austin, TX",Aug 2011,May 2012
