Date,Type,Link
2026-04-01 17:34:32,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444755161656487936
2026-04-01 17:33:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7445105171178688512
2026-04-01 13:47:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444742611766128640
2026-04-01 13:46:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7443032085218414592
2026-04-01 13:43:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444943533234618368
2026-03-31 23:48:39,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444793321509679104?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7444793321509679104%2C7444892772056346624%29
2026-03-31 23:38:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444732101469372416?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7444732101469372416%2C7444884108557647872%29
2026-03-31 23:09:48,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444793321509679104
2026-03-31 16:50:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444405589675278336
2026-03-31 16:49:49,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444746713866858496
2026-03-31 16:47:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7435397505128853504
2026-03-31 16:35:31,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444732101469372416
2026-03-31 14:57:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444745620273180672
2026-03-31 14:57:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444318813850030080
2026-03-31 14:53:24,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444746680240914433
2026-03-31 14:42:24,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444726456758263808
2026-03-30 16:08:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7444403997781843969
2026-03-29 15:59:16,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7444041943501737984
2026-03-28 15:13:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7443041323013627904
2026-03-26 14:43:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7442939210405216258
2026-03-24 17:49:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440397193942921217?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7440397193942921217%2C7442259260622823425%29
2026-03-24 17:10:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7442193839056080896
2026-03-24 17:10:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7442233267900006400
2026-03-24 16:59:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440397193942921217?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7440397193942921217%2C7442014405866840064%29
2026-03-24 00:38:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440397193942921217?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7440397193942921217%2C7441988615393603584%29
2026-03-23 19:39:18,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441832606167625728
2026-03-23 15:23:08,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441142116258357248
2026-03-23 15:21:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441823895726440448?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7441823895726440448%2C7441865569777332225%29
2026-03-23 15:17:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440008423934566400
2026-03-23 15:14:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441741520719884289
2026-03-23 15:11:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441800968175935489
2026-03-23 15:11:23,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439412076160184320
2026-03-23 15:08:32,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441823895726440448
2026-03-23 15:00:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441800978946908160
2026-03-23 14:59:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439667802573275137?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7439667802573275137%2C7441758136887283712%29
2026-03-22 15:14:40,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439946884611371008
2026-03-22 15:13:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440553131496775681
2026-03-20 17:02:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440397193942921217?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7440397193942921217%2C7440792028394745856%29
2026-03-20 17:01:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440775580125437952?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7440775580125437952%2C7440795065725235201%29
2026-03-20 17:00:48,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7435747495227437057
