Ad clicked Date,Ad Title/Id
2025/02/15 22:18:33 UTC,590933823
2024/08/22 17:02:56 UTC,462273134
2024/11/07 00:58:37 UTC,548757556
2024/08/22 17:02:56 UTC,462273134
2024/11/07 00:58:39 UTC,548757556
2025/02/04 05:14:54 UTC,616030906
2025/07/22 15:47:43 UTC,798639606
2025/02/04 05:16:09 UTC,450083786
2025/07/22 15:47:43 UTC,798639606
2025/01/14 15:02:44 UTC,511602103
2025/06/18 21:47:15 UTC,705106516
2025/01/14 15:02:49 UTC,511602103
2025/06/18 21:48:24 UTC,705106516
2025/05/19 17:28:44 UTC,700342546
2025/02/06 21:26:22 UTC,564457146
2025/05/19 17:28:44 UTC,700342546
2025/09/10 15:11:13 UTC,689784376
2024/07/16 00:49:13 UTC,409731486
2025/09/10 15:11:05 UTC,689784376
2025/06/04 19:46:28 UTC,718663586
2025/09/10 15:11:06 UTC,689784376
2025/06/04 19:46:30 UTC,718663586
2025/09/10 15:11:15 UTC,689784376
2025/06/04 19:28:51 UTC,718663586
2025/08/01 16:24:17 UTC,305397634
2025/06/04 19:28:53 UTC,718663586
2025/06/23 14:58:53 UTC,713326673
2025/06/04 19:28:53 UTC,718663586
2025/06/23 14:58:55 UTC,713326673
2025/06/04 19:28:25 UTC,718663586
2026/03/18 14:52:32 UTC,1190510443
2025/06/04 19:28:44 UTC,718663586
2026/03/18 14:53:36 UTC,1190510443
2025/06/04 19:28:47 UTC,718663586
2026/03/19 03:14:08 UTC,1177720563
2025/06/04 19:46:28 UTC,718663586
2026/03/19 03:14:40 UTC,1135796924
2024/11/15 23:33:15 UTC,500186014
2025/07/07 16:33:32 UTC,724019606
2024/11/15 23:33:17 UTC,519337656
2025/07/07 16:33:33 UTC,724019606
2024/11/15 23:33:18 UTC,500186014
2026/03/18 14:45:18 UTC,1190510443
2024/11/15 23:33:19 UTC,519337656
2026/03/18 14:53:06 UTC,1190510443
2025/12/11 21:19:25 UTC,967621256
2026/03/18 14:53:24 UTC,1190510443
2025/12/11 21:19:25 UTC,967621256
2026/03/18 14:53:36 UTC,1190510443
2025/04/25 18:43:58 UTC,651310306
2024/06/19 00:01:00 UTC,446628886
2025/02/12 17:02:24 UTC,350933644
2024/07/23 18:42:05 UTC,427288184
2024/06/13 23:47:39 UTC,446628886
2025/03/03 18:45:00 UTC,552695154
2024/06/13 23:50:50 UTC,446628886
2025/03/03 18:45:03 UTC,552695154
2024/06/13 23:50:54 UTC,178928534
2026/03/12 21:43:54 UTC,1368961486
2026/01/18 15:21:19 UTC,145111864
2026/03/12 21:44:21 UTC,1368961486
2024/06/13 22:50:13 UTC,446628886
2026/03/12 21:44:22 UTC,1368961486
2026/01/26 16:34:46 UTC,896091584
2026/03/12 23:04:24 UTC,982508636
2026/01/26 16:34:46 UTC,896091584
2026/03/12 23:04:25 UTC,982508636
2026/01/26 16:34:46 UTC,896091584
2026/03/12 23:04:25 UTC,982508636
2026/01/26 16:34:47 UTC,896091584
2026/03/12 23:04:25 UTC,982508636
2024/04/22 18:22:24 UTC,394297254
2026/03/12 14:58:51 UTC,965980566
2024/04/22 18:22:24 UTC,394297254
2026/03/13 14:58:32 UTC,982508636
2024/04/22 18:22:35 UTC,394297254
2026/03/12 20:43:12 UTC,145111864
2026/01/19 20:19:04 UTC,642933183
2026/03/12 20:43:28 UTC,145111864
2025/07/09 14:34:32 UTC,748185786
2026/03/13 15:00:01 UTC,1176632573
2025/09/24 22:52:11 UTC,884063986
2026/03/13 15:00:02 UTC,1176632573
2025/09/24 22:52:11 UTC,884063986
2026/03/13 15:01:11 UTC,1173512483
2025/07/09 14:41:09 UTC,702708064
2026/03/13 15:02:03 UTC,1362933766
2024/11/12 19:14:28 UTC,519337656
2026/03/13 15:12:47 UTC,1145009454
2024/11/12 19:14:29 UTC,519337656
2026/03/13 15:19:20 UTC,1147317194
2024/12/18 17:12:16 UTC,479780934
2026/03/12 21:42:21 UTC,1368961486
2024/12/18 17:12:18 UTC,479780934
2026/03/12 21:43:11 UTC,1368961486
2024/07/31 21:59:51 UTC,486997896
2026/03/17 01:41:12 UTC,1176885543
2026/03/05 18:00:40 UTC,1359104906
2025/11/05 17:18:01 UTC,858354636
2026/03/05 18:00:44 UTC,1359104906
2024/09/09 17:23:03 UTC,486988826
2024/08/01 01:38:37 UTC,486997896
2024/09/09 17:23:05 UTC,486988826
2025/02/24 21:32:15 UTC,511620843
2024/09/12 20:37:06 UTC,510091656
2026/03/09 17:19:03 UTC,1359104906
2024/09/12 20:37:06 UTC,510091656
2024/04/17 21:46:22 UTC,178928404
2024/09/12 20:37:06 UTC,510091656
2025/09/17 21:42:35 UTC,819437756
2024/09/12 20:42:23 UTC,510091656
2025/09/17 21:42:35 UTC,819437756
2025/01/31 18:43:52 UTC,552695154
2026/04/03 15:38:16 UTC,901064926
2025/01/31 18:43:53 UTC,552695154
2026/04/03 15:39:29 UTC,1383900436
2026/03/13 15:02:58 UTC,1190510443
2026/04/03 15:40:16 UTC,1383900436
2026/03/13 15:09:37 UTC,1364820616
2026/04/03 15:40:18 UTC,1383900436
2026/03/13 15:12:09 UTC,1148602904
2026/04/03 15:40:19 UTC,1383900436
2026/03/13 15:20:02 UTC,1156017346
2026/04/03 15:41:12 UTC,1383900436
2025/06/25 01:01:11 UTC,569753444
2026/04/03 15:41:15 UTC,1383900436
2025/10/14 19:57:08 UTC,873879336
2026/04/03 15:44:16 UTC,1383900436
2025/10/14 19:57:08 UTC,873879336
2026/04/01 13:45:44 UTC,1233582804
2025/02/01 21:44:40 UTC,145111864
2026/04/01 17:30:33 UTC,1200584173
2025/10/26 01:07:43 UTC,500186014
2026/04/01 13:54:32 UTC,1158688886
2026/03/17 14:53:19 UTC,1180808443
2026/04/02 18:24:56 UTC,914374953
2026/03/18 03:39:15 UTC,1372090846
2026/04/02 18:25:06 UTC,914374953
2024/04/08 03:09:58 UTC,274205806
2026/03/31 14:49:11 UTC,656801204
2026/03/11 17:14:25 UTC,1049924216
2026/03/31 16:46:08 UTC,1383256556
2026/03/11 17:14:27 UTC,1049924216
2026/03/31 16:49:53 UTC,1233236344
2026/03/11 17:14:08 UTC,1049924216
2026/03/31 00:29:30 UTC,1359104906
2025/01/22 22:10:51 UTC,600862126
2026/04/03 15:45:09 UTC,1383900436
2025/05/27 19:05:51 UTC,676957144
2026/04/03 15:45:09 UTC,1383900436
2025/05/27 19:05:52 UTC,676957144
2026/03/31 14:58:29 UTC,1175415333
2025/08/13 20:52:05 UTC,707023034
2026/03/31 14:59:22 UTC,1378298166
2025/08/13 20:52:08 UTC,707023034
2026/03/31 19:48:36 UTC,840183156
2025/06/30 16:05:57 UTC,676946994
2026/03/28 15:09:23 UTC,145111864
2025/06/30 16:05:58 UTC,676946994
2026/03/27 13:40:32 UTC,1232413194
2025/06/30 16:05:59 UTC,676946994
2026/03/27 13:40:35 UTC,1232413194
2025/06/30 16:05:59 UTC,676946994
2026/03/27 13:41:18 UTC,1376026586
2025/06/30 16:05:59 UTC,676946994
2026/03/27 23:49:57 UTC,1233852854
