Action,Date,Ad Title/Id,Page/App
Impression,2025/12/17,697048243,finance.yahoo.com
Impression,2025/12/17,756748453,Samsung TV Plus FREE
Impression,2025/12/17,767154534,Samsung TV Plus FREE
Impression,2025/12/17,913208084,Samsung TV Plus FREE
Impression,2025/12/17,931514536,Samsung TV Plus FREE
Impression,2025/12/17,931547496,Samsung TV Plus FREE
Impression,2025/12/17,931563586,Samsung TV Plus FREE
Impression,2025/12/17,957413036,Samsung TV Plus FREE
Impression,2025/12/17,983394936,finance.yahoo.com
Impression,2025/12/17,998674346,finance.yahoo.com
Impression,2025/12/18,1071671924,finance.yahoo.com
Impression,2025/12/18,860855593,finance.yahoo.com
Impression,2025/12/18,946054326,finance.yahoo.com
Impression,2025/12/19,698275553,espn.com
Impression,2025/12/19,698343163,espn.com
Impression,2025/12/19,698828453,espn.com
Impression,2025/12/19,698908033,espn.com
Impression,2025/12/19,711194833,espn.com
Impression,2025/12/19,777041254,espn.com
Impression,2025/12/19,851827223,espn.com
Impression,2025/12/19,851866873,cnbc.com
Impression,2025/12/19,856912796,espn.com
Impression,2025/12/19,863495193,espn.com
Impression,2025/12/19,930265936,espn.com
Impression,2025/12/19,980181276,espn.com
Impression,2025/12/20,973564076,Words With Friends 2 Word Game
Impression,2025/12/21,577832456,espn.com
Impression,2025/12/21,716791873,espn.com
Impression,2025/12/21,716821053,espn.com
Impression,2025/12/22,1008499086,dailymail.co.uk
Impression,2025/12/22,1013192506,techcrunch.com
Impression,2025/12/22,1071180334,nypost.com
Impression,2025/12/22,1096482833,nypost.com
Impression,2025/12/22,697065453,Word Search Explorer
Impression,2025/12/22,926853484,finance.yahoo.com
Impression,2025/12/22,964279986,techcrunch.com
Impression,2025/12/23,577832436,yahoo.com
Impression,2025/12/27,771205084,Samsung TV Plus FREE
Impression,2025/12/28,697048243,Word Search Explorer
Impression,2025/12/29,698275553,My Perfect Hotel
Impression,2025/12/30,717058383,weather.com
Impression,2025/12/31,577808886,finance.yahoo.com
Impression,2025/12/31,964279986,Word Search Explorer
Impression,2026/01/02,1012057876,Fortune
Impression,2026/01/02,1013582166,finance.yahoo.com
Impression,2026/01/02,1015390906,finance.yahoo.com
Impression,2026/01/02,577808876,finance.yahoo.com
Impression,2026/01/05,1012089476,hollywoodreporter.com
Impression,2026/01/06,1011376066,DISH Network
Impression,2026/01/07,577832456,finance.yahoo.com
Impression,2026/01/08,1011789166,hollywoodreporter.com
Impression,2026/01/08,1086283524,finance.yahoo.com
Impression,2026/01/08,745697153,hollywoodreporter.com
Impression,2026/01/09,1013682046,Wordscapes
Impression,2026/01/09,577832456,yahoo.com
Impression,2026/01/11,964279986,Daily Themed Crossword Puzzles
Impression,2026/01/13,1013211976,finance.yahoo.com
Impression,2026/01/15,1011789166,yahoo.com
Impression,2026/01/16,1012310536,thesaurus.com
Impression,2026/01/16,1032279946,thesaurus.com
Impression,2026/01/16,1088593334,thesaurus.com
Impression,2026/01/16,1124980844,thesaurus.com
Impression,2026/01/16,577799456,thesaurus.com
Impression,2026/01/16,577808876,thesaurus.com
Impression,2026/01/16,860983483,thesaurus.com
Impression,2026/01/16,953484596,thesaurus.com
Impression,2026/01/16,973264446,thesaurus.com
Impression,2026/01/19,920733736,espn.com
Impression,2026/01/23,1002949906,weather.com
Impression,2026/01/23,1003150646,weather.com
Impression,2026/01/23,1104686023,thedailybeast.com
Impression,2026/01/23,842983496,thedailybeast.com
Impression,2026/01/24,1012448626,sugarspunrun.com
Impression,2026/01/24,1013211976,finance.yahoo.com
Impression,2026/01/24,1013441246,sugarspunrun.com
Impression,2026/01/24,1013535486,sugarspunrun.com
Impression,2026/01/24,1013682046,finance.yahoo.com
Impression,2026/01/24,1014197046,sugarspunrun.com
Impression,2026/01/24,1015390906,finance.yahoo.com
Impression,2026/01/24,1081332514,Happy Color® – Color by Number
Impression,2026/01/24,1110185093,finance.yahoo.com
Impression,2026/01/24,577825486,finance.yahoo.com
Impression,2026/01/24,577832436,sugarspunrun.com
Impression,2026/01/24,577832456,sugarspunrun.com
Impression,2026/01/24,878737633,Happy Color® – Color by Number
Impression,2026/01/24,964279986,finance.yahoo.com
Impression,2026/01/27,1115616373,cosmopolitan.com
Impression,2026/01/28,1013981406,Happy Color® – Color by Number
Impression,2026/01/28,1053782156,Happy Color® – Color by Number
Impression,2026/01/29,878737633,finance.yahoo.com
Impression,2026/02/16,1139670854,Samsung TV Plus FREE
Impression,2026/02/28,1138570524,DISH Network
Impression,2026/02/28,1140697334,DISH Network
Impression,2026/03/04,577832456,feelgoodfoodie.net
Impression,2026/03/05,1138160224,The Roku Channel
Impression,2026/03/06,698313353,Sudoku.com
Impression,2026/03/06,745717043,Sudoku.com
Impression,2026/03/07,1332296126,The Roku Channel
Impression,2026/03/11,1331797036,The Roku Channel
Impression,2026/03/11,577825486,TuneIn Radio: Music & Sports
Impression,2026/03/12,1067589036,TuneIn Radio: Music & Sports
Impression,2026/03/12,1146503174,TuneIn Radio: Music & Sports
Impression,2026/03/12,577808876,TuneIn Radio: Music & Sports
Impression,2026/03/12,577832456,TuneIn Radio: Music & Sports
Impression,2026/03/13,1176641283,OneFOX
Impression,2026/03/16,1330596636,The Roku Channel
Impression,2026/03/16,1330797576,The Roku Channel
Impression,2026/03/16,1331797036,The Roku Channel
Impression,2026/03/18,1191546863,WeatherNation
Impression,2026/03/19,1003705136,TuneIn Radio: Music & Sports
Impression,2026/03/19,1193596673,TuneIn Radio: Music & Sports
Impression,2026/03/19,1362315496,TuneIn Radio: Music & Sports
Impression,2026/03/19,577832456,TuneIn Radio: Music & Sports
Impression,2026/03/19,745716863,TuneIn Radio: Music & Sports
Impression,2026/03/19,745717043,TuneIn Radio: Music & Sports
Impression,2026/03/19,894656064,TuneIn Radio: Music & Sports
Impression,2026/03/20,1233805374,TuneIn Radio: Music & Sports
Impression,2026/03/20,745697153,TuneIn Radio: Music & Sports
Impression,2026/03/20,745717043,TuneIn Radio: Music & Sports
Impression,2026/03/20,894754584,TuneIn Radio: Music & Sports
Impression,2026/03/23,1332296126,The Roku Channel
Impression,2026/03/24,1176839043,The Roku Channel
Impression,2026/03/25,1084683994,The Roku Channel
Impression,2026/03/28,1330596636,frndly
Impression,2026/03/28,1376572166,frndly
Impression,2026/03/29,1191546863,WeatherNation
Impression,2026/03/30,1192626893,The Roku Channel
Impression,2026/03/31,1191546863,WeatherNation
Impression,2026/03/31,1198779923,yahoo.com
Impression,2026/03/31,1199279883,yahoo.com
Impression,2026/04/01,1199821903,The Roku Channel
Impression,2026/04/01,577799456,zillow.com
Impression,2026/04/03,1191266503,WeatherNation
Impression,2026/04/03,1191546863,WeatherNation
Impression,2026/04/03,666220856,cbsnews.com
Impression,2026/04/03,698313183,theguardian.com
Impression,2026/04/04,1200702723,The Roku Channel
Impression,2026/04/06,1381464856,wfaa.com
Impression,2026/04/06,1384160256,wfaa.com
Impression,2026/04/06,225490586,wfaa.com
Impression,2026/04/07,1240285754,The Roku Channel
